station_code,lat,lng,old_district,old_province,new_district,new_province,region,technician
C.HNO5102,20.950323,105.790092,Ha Dong,Hà Nội	,Phường Kiến Hưng,Thành phố Hà Nội,,
C.HNO5103,9.33337,103.333366,Phu Quoc,Kiên Giang,Đặc khu Thổ Châu,Tỉnh An Giang,Mtay,Hồng Phát
C.HNO5111,20.831926,105.760719,Thanh Oai,Hà Nội	,Xã Thanh Oai,Thành phố Hà Nội,,
C.HNO5112,20.869732,105.819656,Thanh Oai,Hà Nội	,Xã Tam Hưng,Thành phố Hà Nội,,
C.HNO5113,9.33338,103.333382,Phu Quoc,Kiên Giang,Đặc khu Thổ Châu,Tỉnh An Giang,Mtay,Hồng Phát
C.HNO5118,9.333385,103.333382,Phu Quoc,Kiên Giang,Đặc khu Thổ Châu,Tỉnh An Giang,Mtay,Hồng Phát
C.HNO5119,9.333386,103.333389,Phu Quoc,Kiên Giang,Đặc khu Thổ Châu,Tỉnh An Giang,Mtay,Hồng Phát
C.HNO5120,9.333387,103.333389,Phu Quoc,Kiên Giang,Đặc khu Thổ Châu,Tỉnh An Giang,Mtay,Hồng Phát
C.HNO5121,9.333388,103.333389,Phu Quoc,Kiên Giang,Đặc khu Thổ Châu,Tỉnh An Giang,Mtay,Hồng Phát
C.HNO5122,9.333389,103.333389,Phu Quoc,Kiên Giang,Đặc khu Thổ Châu,Tỉnh An Giang,Mtay,Hồng Phát
C.HNO5131,9.333398,103.333397,Phu Quoc,Kiên Giang,Đặc khu Thổ Châu,Tỉnh An Giang,Mtay,Hồng Phát
C.HNO5132,9.333399,103.333397,Phu Quoc,Kiên Giang,Đặc khu Thổ Châu,Tỉnh An Giang,Mtay,Hồng Phát
C.HNO5134,9.333401,103.333405,Phu Quoc,Kiên Giang,Đặc khu Thổ Châu,Tỉnh An Giang,Mtay,Hồng Phát
