station_code,lat,lng,old_district,old_province,new_district,new_province,region,technician
C.PTH5184,21.350687,105.688286,Binh Xuyen,Vĩnh Phúc,Xã Bình Tuyền,Tỉnh Phú Thọ,,
C.PTH5186,21.312616,105.409248,Viet Tri,Phú Thọ,Phường Thanh Miếu,Tỉnh Phú Thọ,,
C.PTH5189,21.242697,105.630363,Binh Xuyen,Vĩnh Phúc,Xã Xuân Lãng,Tỉnh Phú Thọ,,
C.PTH5190,21.347099,105.702766,Binh Xuyen,Vĩnh Phúc,Xã Bình Tuyền,Tỉnh Phú Thọ,,
C.PTH5192,21.349741,105.539253,Tam Duong,Vĩnh Phúc,Xã Hội Thịnh,Tỉnh Phú Thọ,,
C.PTH5194,9.333994,103.333992,Phu Quoc,Kiên Giang,Đặc khu Thổ Châu,Tỉnh An Giang,Mtay,Hồng Phát
C.PTH5203,21.531288,105.011688,Ha Hoa,Phú Thọ,Xã Văn Lang,Tỉnh Phú Thọ,,
C.PTH5225,21.3043,105.401566,Viet Tri,Phú Thọ,Phường Thanh Miếu,Tỉnh Phú Thọ,,
C.PTH5236,21.065023,105.262749,Thanh Thuy,Phú Thọ,Xã Tu Vũ,Tỉnh Phú Thọ,,
C.PTH5237,21.144728,105.266418,Thanh Thuy,Phú Thọ,Xã Thanh Thuỷ,Tỉnh Phú Thọ,,
C.PTH5242,9.334042,103.334045,Phu Quoc,Kiên Giang,Đặc khu Thổ Châu,Tỉnh An Giang,Mtay,Hồng Phát
C.PTH5250,21.541653,105.271736,Doan Hung,Phú Thọ,Xã Phú Mỹ,Tỉnh Phú Thọ,,
C.PTH5252,21.323561,105.362259,Viet Tri,Phú Thọ,Phường Nông Trang,Tỉnh Phú Thọ,,
C.PTH5253,21.25836,105.344391,Lam Thao,Phú Thọ,Xã Bản Nguyên,Tỉnh Phú Thọ,,
C.PTH5255,21.41334,105.02903,Cam Khe,Phú Thọ,Xã Vân Bán,Tỉnh Phú Thọ,,
C.PTH5258,21.312132,105.369705,Viet Tri,Phú Thọ,Phường Việt Trì,Tỉnh Phú Thọ,,
C.PTH5260,21.349766,105.370193,Viet Tri,Phú Thọ,Phường Vân Phú,Tỉnh Phú Thọ,,
C.PTH5261,22.091246,104.255409,Van Ban,Lào Cai,Xã Văn Bàn,Tỉnh Lào Cai,,
C.PTH5264,21.291861,105.13343,Yen Lap,Phú Thọ,Xã Minh Hoà,Tỉnh Phú Thọ,,
C.PTH5270,21.333151,105.396774,Viet Tri,Phú Thọ,Phường Việt Trì,Tỉnh Phú Thọ,,
C.PTH5274,21.087795,105.300468,Thanh Thuy,Phú Thọ,Xã Tu Vũ,Tỉnh Phú Thọ,,
C.PTH5277,21.417316,105.20826,Phu Tho,Phú Thọ,Phường Phú Thọ,Tỉnh Phú Thọ,,
C.PTH5278,21.323565,105.362282,Viet Tri,Phú Thọ,Phường Nông Trang,Tỉnh Phú Thọ,,
C.PTH5280,21.349741,105.539253,Tam Duong,Vĩnh Phúc,Xã Hội Thịnh,Tỉnh Phú Thọ,,
C.PTH5281,21.307364,105.312439,Lam Thao,Phú Thọ,Xã Phùng Nguyên,Tỉnh Phú Thọ,,
C.PTH5283,21.375721,105.192177,Thanh Ba,Phú Thọ,Xã Liên Minh,Tỉnh Phú Thọ,,
C.PTH5286,21.320011,105.3937,Viet Tri,Phú Thọ,Phường Việt Trì,Tỉnh Phú Thọ,,
C.PTH5287,21.406689,105.378311,Phu Ninh,Phú Thọ,Xã Bình Phú,Tỉnh Phú Thọ,,
C.PTH5290,21.287539,105.295326,Lam Thao,Phú Thọ,Xã Phùng Nguyên,Tỉnh Phú Thọ,,
C.PTH5291,21.496363,105.122032,Thanh Ba,Phú Thọ,Xã Thanh Ba,Tỉnh Phú Thọ,,
C.PTH5292,21.310396,105.414001,Viet Tri,Phú Thọ,Phường Thanh Miếu,Tỉnh Phú Thọ,,
C.PTH5294,21.33758,105.410156,Viet Tri,Phú Thọ,Phường Việt Trì,Tỉnh Phú Thọ,,
